s,H/h,S0,type,R/h
0.0503778337531486,0.601,0.47146720578551,SB,0.801
0.0503778337531486,0.09,1.21833710443944,SB,0.27
0.0503778337531486,0.259,0.718189156219577,SB,0.519
0.0503778337531486,0.59,0.475841942503503,SB,0.81
0.0503778337531486,0.298,0.669546267792047,SB,0.551
0.0503778337531486,0.322,0.644111109307294,SB,0.591
0.0503778337531486,0.17,0.886470453390528,SB,0.407
0.0503778337531486,0.273,0.699531703651355,SB,0.487
0.0503778337531486,0.276,0.695719513397402,SB,0.495
0.0503778337531486,0.633,0.459395641531238,SB,0.842
0.0503778337531486,0.625,0.462326424950769,SB,0.825
0.0503778337531486,0.626,0.461957007053226,SB,0.862
0.0503778337531486,0.283,0.687061333241444,SB,0.527
0.0503778337531486,0.286,0.683448365166765,SB,0.513
0.0503778337531486,0.323,0.643113260359082,SB,0.555
0.0503778337531486,0.036,1.92636010396154,NB,0.124
0.0503778337531486,0.188,0.842965500558699,SB,0.409
0.0503778337531486,0.271,0.702108256402053,SB,0.513
0.0503778337531486,0.416,0.566685447709991,SB,0.686
0.0503778337531486,0.159,0.916621761066519,SB,0.384
0.0503778337531486,0.16,0.913752828329581,SB,0.384
0.0503778337531486,0.143,0.966541947200558,SB,0.366
0.0503778337531486,0.036,1.92636010396154,NB,0.121
0.0503778337531486,0.394,0.582291720034237,SB,0.641
0.0503778337531486,0.048,1.66827678686752,PB,0.182
0.0503778337531486,0.267,0.707347942937359,SB,0.507
0.0503778337531486,0.039,1.85078692206682,NB,0.152
0.0503778337531486,0.04,1.82750565665916,NB,0.156
0.0503778337531486,0.021,2.52219742632764,NB,0.076
0.0503778337531486,0.014,3.08904836253184,NB,0.049
0.0503778337531486,0.051,1.61846621294608,PB,0.191
0.0503778337531486,0.075,1.33462142949402,SB,0.258
0.0503778337531486,0.073,1.35278037888309,SB,0.248
0.0503778337531486,0.065,1.43361338530866,PB,0.228
0.0503778337531486,0.055,1.55850206057465,PB,0.207
0.0503778337531486,0.056,1.54452418126592,PB,0.207
0.0503778337531486,0.034,1.98220819382628,NB,0.144
0.0503778337531486,0.018,2.72428458503685,NB,0.074
0.0503778337531486,0.009,3.85272020792307,NB,0.036
0.0503778337531486,0.018,2.72428458503685,NB,0.075
0.0503778337531486,0.027,2.2243690491567,NB,0.108
0.0503778337531486,0.038,1.87498124204546,NB,0.146
0.0503778337531486,0.047,1.6859310011174,PB,0.195
0.0503778337531486,0.047,1.6859310011174,PB,0.195
0.0503778337531486,0.188,0.842965500558699,SB,0.425
0.0503778337531486,0.019,2.65162390169585,NB,0.078
0.0503778337531486,0.019,2.65162390169585,NB,0.076
0.0503778337531486,0.094,1.19213324350274,SB,0.288
0.0503778337531486,0.009,3.85272020792307,NB,0.041
0.0503778337531486,0.005,5.16896656992187,NB,0.019
0.0503778337531486,0.006,4.71859931556052,NB,0.022
0.0503778337531486,0.007,4.36857408911894,NB,0.026
0.0503778337531486,0.028,2.18428704455947,NB,0.123
0.0503778337531486,0.008,4.08642687755528,NB,0.029
0.0503778337531486,0.023,2.41004309004279,NB,0.087
0.0503778337531486,0.017,2.8032657111562,NB,0.063
0.0503778337531486,0.024,2.35929965778026,NB,0.098
0.0503778337531486,0.012,3.33655357373505,NB,0.048
0.0503778337531486,0.014,3.08904836253184,NB,0.052
0.0503778337531486,0.009,3.85272020792307,NB,0.036
0.0503778337531486,0.193,0.831974606667244,SB,0.426
0.0503778337531486,0.044,1.74245827525921,PB,0.182
0.0503778337531486,0.022,2.46420812474081,NB,0.098
0.0503778337531486,0.039,1.85078692206682,NB,0.162
0.0166666666666667,0.024,0.780534970115636,SB,0.089
0.0166666666666667,0.035,0.646344360886937,SB,0.097
0.0166666666666667,0.048,0.551921570322005,SB,0.114
0.0166666666666667,0.057,0.506477968377663,SB,0.124
0.0166666666666667,0.077,0.435765279213865,SB,0.139
0.0166666666666667,0.09,0.403066525385382,SB,0.146
0.0166666666666667,0.096,0.390267485057818,SB,0.153
0.0166666666666667,0.129,0.336669001639328,SB,0.168
0.0166666666666667,0.156,0.306151003358553,SB,0.181
0.0166666666666667,0.165,0.297684357441274,SB,0.189
0.0166666666666667,0.183,0.282665263326776,SB,0.199
0.0166666666666667,0.208,0.265134546302602,SB,0.208
0.0166666666666667,0.213,0.262004158567882,SB,0.215
0.0166666666666667,0.227,0.25379616634578,SB,0.226
0.0166666666666667,0.248,0.242813118017331,SB,0.232
0.0166666666666667,0.264,0.23534014832953,SB,0.236
0.0166666666666667,0.288,0.22532103755409,SB,0.249
0.0166666666666667,0.322,0.213093425329163,SB,0.256
0.0166666666666667,0.338,0.207988650049929,SB,0.261
0.0166666666666667,0.011,1.15292655879651,SB,0.046
0.0166666666666667,0.02,0.855033220107909,SB,0.076
0.0166666666666667,0.03,0.698131700797732,SB,0.093
0.0166666666666667,0.041,0.597181104812782,SB,0.099
0.0166666666666667,0.052,0.530269092605204,SB,0.119
0.0166666666666667,0.054,0.520356646743758,SB,0.111
0.0166666666666667,0.053,0.525242731843098,SB,0.113
0.0166666666666667,0.055,0.515604431706781,SB,0.12
0.0166666666666667,0.053,0.525242731843098,SB,0.108
0.0166666666666667,0.053,0.525242731843098,SB,0.113
0.0166666666666667,0.052,0.530269092605204,SB,0.114
0.0166666666666667,0.07,0.457034480564838,SB,0.139
0.0166666666666667,0.086,0.412333633114293,SB,0.146
0.0166666666666667,0.1,0.382382480636365,SB,0.157
0.0166666666666667,0.118,0.352011606002835,SB,0.17
0.0166666666666667,0.12,0.349065850398866,SB,0.165
0.0166666666666667,0.12,0.349065850398866,SB,0.167
0.0166666666666667,0.119,0.350529445289275,SB,0.168
0.0166666666666667,0.12,0.349065850398866,SB,0.162
0.0166666666666667,0.12,0.349065850398866,SB,0.164
0.0166666666666667,0.12,0.349065850398866,SB,0.165
0.0166666666666667,0.137,0.32669140050841,SB,0.177
0.0166666666666667,0.152,0.310153147121687,SB,0.188
0.0166666666666667,0.152,0.310153147121687,SB,0.18
0.0166666666666667,0.152,0.310153147121687,SB,0.187
0.0166666666666667,0.152,0.310153147121687,SB,0.184
0.0166666666666667,0.152,0.310153147121687,SB,0.177
0.0166666666666667,0.153,0.309137913146948,SB,0.182
0.0166666666666667,0.152,0.310153147121687,SB,0.183
0.0166666666666667,0.02,0.855033220107909,SB,0.083
0.0166666666666667,0.036,0.637304134393942,SB,0.093
0.0166666666666667,0.045,0.570022146738606,SB,0.11
0.0166666666666667,0.054,0.520356646743758,SB,0.123
0.0166666666666667,0.07,0.457034480564838,SB,0.138
